"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"451","Davante Adams","GB","WR","163.9","116.5","1402.0","13.7","220.30"
"848","Tyreek Hill","MIA","WR","149.6","92.7","1369.0","10.2","213.43"
"1558","DK Metcalf","SEA","WR","143.1","89.1","1396.3","9.7","195.54"
"1560","A.J. Brown","TEN","WR","138.1","84.9","1262.7","10.7","188.71"
"1235","Calvin Ridley","ATL","WR","159.0","98.6","1429.7","7.2","185.69"
"1941","Justin Jefferson","MIN","WR","146.7","91.7","1373.3","7.9","183.78"
"338","DeAndre Hopkins","ARI","WR","162.1","114.9","1407.8","7.4","182.39"
"594","Stefon Diggs","BUF","WR","157.3","112.5","1391.7","6.2","175.11"
"447","Mike Evans","TB","WR","132.0","76.0","1105.7","9.2","164.57"
"454","Allen Robinson","CHI","WR","151.3","96.6","1245.8","6.8","163.64"
"1565","Terry McLaurin","WAS","WR","154.7","91.1","1276.6","5.6","160.95"
"1937","CeeDee Lamb","DAL","WR","145.3","85.5","1182.4","5.4","156.97"
"977","Chris Godwin","TB","WR","129.0","83.3","1055.6","8.1","152.74"
"172","Julio Jones","TEN","WR","133.7","77.8","1128.3","6.7","151.54"
"334","Keenan Allen","LAC","WR","159.7","105.4","1134.9","6.5","151.07"
"337","Robert Woods","LAR","WR","150.0","92.3","1087.5","4.1","150.12"
"1241","D.J. Moore","CAR","WR","133.9","77.6","1197.2","4.6","148.84"
"540","Adam Thielen","MIN","WR","135.6","79.9","1004.0","7.2","143.58"
"586","Amari Cooper","DAL","WR","137.7","92.4","1113.2","5.3","143.16"
"595","Tyler Lockett","SEA","WR","138.4","91.0","1054.7","5.9","139.77"
"1945","Brandon Aiyuk","SF","WR","124.6","70.2","923.2","5.2","136.90"
"978","Cooper Kupp","LAR","WR","140.1","86.9","1041.2","5.1","136.26"
"1938","Jerry Jeudy","DEN","WR","133.1","77.1","1060.6","5.2","135.79"
"1654","Diontae Johnson","PIT","WR","148.0","92.5","1029.4","5.2","134.49"
"1068","Kenny Golladay","NYG","WR","104.3","64.8","964.3","6.5","134.29"
"1946","Chase Claypool","PIT","WR","114.0","67.3","912.4","6.2","133.08"
"1940","Tee Higgins","CIN","WR","127.1","76.0","1001.0","5.3","132.44"
"455","Odell Beckham","LAR","WR","120.1","67.5","949.2","4.7","131.44"
"970","Mike Williams","LAC","WR","100.4","57.5","905.6","7.0","131.44"
"1236","Courtland Sutton","DEN","WR","128.1","69.4","1023.6","4.8","130.20"
"1266","D.J. Chark","JAC","WR","131.4","67.7","946.3","6.0","129.54"
"899","Robby Anderson","CAR","WR","130.1","83.5","1047.7","3.8","127.60"
"1251","Michael Gallup","DAL","WR","118.0","60.7","946.2","5.6","127.33"
"450","Brandin Cooks","HOU","WR","122.3","74.5","1020.0","4.4","127.11"
"972","JuJu Smith-Schuster","PIT","WR","130.7","86.7","873.5","6.9","126.97"
"969","Corey Davis","NYJ","WR","109.4","71.8","979.0","4.9","125.82"
"2366","Ja'Marr Chase","CIN","WR","129.9","72.1","975.8","4.8","125.60"
"241","Marvin Jones","JAC","WR","105.9","64.8","859.5","6.4","123.17"
"1589","Deebo Samuel","SF","WR","111.1","66.6","828.7","3.9","121.99"
"2367","DeVonta Smith","PHI","WR","114.0","63.7","933.0","4.6","119.98"
"746","Tyler Boyd","CIN","WR","135.0","85.3","938.2","3.9","118.40"
"744","Will Fuller","MIA","WR","97.1","61.2","864.5","5.5","118.35"
"1943","Laviska Shenault","JAC","WR","100.6","73.0","827.0","4.0","118.11"
"973","Curtis Samuel","WAS","WR","89.4","60.2","739.1","4.1","115.96"
"1947","Michael Pittman","IND","WR","112.6","69.6","880.2","4.1","113.02"
"456","Jarvis Landry","CLE","WR","130.9","74.4","891.6","3.4","110.55"
"151","Antonio Brown","FA","WR","110.4","70.3","803.3","5.1","110.40"
"587","DeVante Parker","MIA","WR","99.1","62.7","785.2","5.4","109.72"
"2138","Marquez Callaway","NO","WR","116.7","62.5","818.9","4.8","109.56"
"2369","Jaylen Waddle","MIA","WR","114.9","62.6","834.7","3.8","108.23"
"1583","Jakobi Meyers","NE","WR","111.9","68.0","888.9","3.1","107.99"
"1561","Marquise Brown","BAL","WR","106.7","57.0","810.1","4.5","107.61"
"590","Nelson Agholor","NE","WR","92.7","49.7","779.7","4.8","105.80"
"1939","Henry Ruggs","FA","WR","88.0","52.3","802.0","3.4","105.37"
"688","Tyrell Williams","FA","WR","90.3","54.5","790.0","4.5","104.81"
"748","Michael Thomas","NO","WR","117.0","64.1","815.5","4.0","104.39"
"1569","Mecole Hardman","KC","WR","104.0","54.9","753.1","4.1","101.78"
"2079","Darnell Mooney","CHI","WR","115.7","66.3","784.4","3.7","101.59"
"1250","Tre'Quan Smith","NO","WR","91.3","46.7","677.7","5.6","100.84"
"145","Emmanuel Sanders","BUF","WR","85.9","55.2","695.3","5.3","100.48"
"2368","Rondale Moore","ARI","WR","93.1","58.8","669.1","4.2","98.46"
"1950","Gabriel Davis","BUF","WR","97.9","44.4","662.2","5.4","98.02"
"2393","Terrace Marshall","CAR","WR","87.9","57.4","728.2","4.3","97.14"
"1395","Russell Gage","ATL","WR","101.0","67.0","743.3","3.9","97.13"
"2373","Elijah Moore","NYJ","WR","114.9","58.7","758.4","3.4","95.61"
"1944","Jalen Reagor","PHI","WR","104.7","57.0","766.9","2.8","95.28"
"1949","Bryan Edwards","LV","WR","94.3","51.0","686.4","4.4","94.17"
"300","Cole Beasley","BUF","WR","85.6","63.7","734.4","3.4","92.64"
"751","Sterling Shepard","NYG","WR","103.9","67.6","697.6","2.9","90.61"
"164","A.J. Green","ARI","WR","83.3","54.0","644.5","4.1","87.85"
"1382","Marquez Valdes-Scantling","GB","WR","90.3","34.9","619.1","3.8","84.87"
"1568","Parris Campbell","IND","WR","97.0","51.5","621.9","2.7","84.81"
"185","Randall Cobb","GB","WR","91.1","55.9","656.9","3.1","83.82"
"2375","Nico Collins","HOU","WR","87.6","50.6","634.3","3.4","82.63"
"592","Jamison Crowder","NYJ","WR","83.1","52.0","592.1","3.8","81.41"
"1578","Darius Slayton","NYG","WR","80.4","44.6","633.9","3.1","81.12"
"2372","Amon-Ra St. Brown","DET","WR","94.0","51.6","630.2","3.0","80.22"
"1963","Van Jefferson","LAR","WR","91.0","47.4","580.2","3.5","79.46"
"446","Sammy Watkins","BAL","WR","93.4","45.4","547.0","3.8","76.57"
"1955","Quintez Cephus","DET","WR","83.6","41.8","588.5","3.1","76.57"
"238","T.Y. Hilton","IND","WR","81.3","39.8","543.9","3.8","76.29"
"84","DeSean Jackson","LV","WR","55.0","31.7","543.1","3.5","75.27"
"1185","Zach Pascal","IND","WR","84.1","39.0","525.9","3.7","74.26"
"1239","Christian Kirk","ARI","WR","90.0","46.7","545.5","3.1","73.49"
"1962","Donovan Peoples-Jones","CLE","WR","91.3","35.4","550.1","3.1","73.36"
"2378","Rashod Bateman","BAL","WR","78.1","38.6","506.5","3.9","72.99"
"2404","Josh Palmer","LAC","WR","95.7","38.7","532.2","3.3","72.03"
"1579","Hunter Renfrow","LV","WR","91.1","50.6","584.7","2.5","72.03"
"1153","Keelan Cole","NYJ","WR","76.9","39.0","501.5","3.6","71.01"
"2387","D'Wayne Eskridge","SEA","WR","66.6","37.6","499.2","2.9","70.14"
"1766","Jalen Guyton","LAC","WR","79.4","32.8","512.5","3.1","69.91"
"836","Demarcus Robinson","KC","WR","85.3","43.1","511.9","3.1","68.60"
"1942","KJ Hamler","DEN","WR","80.3","41.4","480.9","2.6","68.28"
"1431","Byron Pringle","KC","WR","72.1","41.1","490.6","3.3","68.26"
"499","John Brown","TB","WR","79.4","37.6","488.3","2.8","65.63"
"2097","Quez Watkins","PHI","WR","95.1","36.5","499.1","2.7","65.35"
"635","Chris Conley","HOU","WR","48.0","38.7","514.2","2.5","65.22"
"1156","Kendrick Bourne","NE","WR","83.1","39.0","495.5","2.5","63.98"
"1951","Denzel Mims","NYJ","WR","82.0","34.1","478.1","2.6","63.15"
"1237","James Washington","PIT","WR","64.0","29.7","416.3","3.7","62.94"
"1245","Anthony Miller","PIT","WR","67.7","40.7","471.3","2.6","62.15"
"982","Josh Reynolds","DET","WR","72.1","35.5","448.2","3.0","61.90"
"1238","Allen Lazard","GB","WR","54.7","36.9","467.6","2.3","60.92"
"749","Rashard Higgins","CLE","WR","69.4","30.4","435.9","3.0","60.69"
"933","Kalif Raymond","DET","WR","56.0","35.1","490.7","2.0","60.51"
"2374","Kadarius Toney","NYG","WR","78.0","35.0","405.7","1.9","59.25"
"1828","Deonte Harris","NO","WR","67.4","36.0","415.6","1.8","58.68"
"1839","Olamide Zaccheaus","ATL","WR","86.4","34.2","451.6","2.1","57.25"
"2377","Dyami Brown","WAS","WR","74.6","31.8","437.6","2.3","56.96"
"597","Breshad Perriman","TB","WR","43.6","26.1","394.2","2.7","56.36"
"1135","Tim Patrick","DEN","WR","75.3","33.3","401.6","2.5","54.29"
"1573","Tyron Johnson","LV","WR","68.0","26.4","386.8","2.2","53.12"
"1248","Auden Tate","CIN","WR","51.7","33.3","399.9","1.8","49.90"
"699","Damiere Byrd","CHI","WR","71.3","32.3","391.9","1.8","49.53"
"708","Adam Humphries","WAS","WR","36.3","34.4","369.0","2.0","48.35"
"2386","Tutu Atwell","LAR","WR","65.3","29.6","359.1","1.7","46.18"
"340","Marquise Goodwin","CHI","WR","79.6","25.8","357.7","1.7","45.41"
"1725","Scott Miller","TB","WR","65.3","23.0","296.5","2.1","42.65"
"1711","Travis Fulgham","DEN","WR","34.4","23.3","307.6","1.9","42.16"
"2382","Amari Rodgers","GB","WR","66.3","23.4","268.0","2.0","42.07"
"1582","Preston Williams","MIA","WR","74.9","21.5","300.2","2.0","41.42"
"1449","Cam Sims","WAS","WR","66.1","23.4","303.6","1.6","40.10"
"535","Albert Wilson","MIA","WR","56.9","28.1","301.4","1.5","40.05"
"1099","Isaiah McKenzie","BUF","WR","32.9","22.5","228.2","2.4","39.08"
"237","Mohamed Sanu","SF","WR","30.3","28.2","288.1","1.8","38.87"
"1262","Keke Coutee","IND","WR","50.4","26.5","326.9","2.3","38.32"
"92","Danny Amendola","HOU","WR","51.4","25.3","320.1","0.7","36.21"
"1432","Greg Ward","PHI","WR","46.6","23.6","238.7","2.0","35.61"
"1557","N'Keal Harry","NE","WR","55.9","23.6","257.7","1.6","35.47"
"1958","Collin Johnson","NYG","WR","62.0","25.3","270.0","1.3","35.13"
"1970","Freddie Swain","SEA","WR","37.6","18.1","226.5","2.0","34.39"
"236","Alshon Jeffery","FA","WR","35.0","20.0","283.0","1.0","34.30"
"2077","Isaiah Coulter","CHI","WR","0.0","18.3","275.6","1.5","33.96"
"2381","Anthony Schwartz","CLE","WR","57.0","13.8","233.3","1.5","32.20"
"2492","Dez Fitzpatrick","TEN","WR","46.0","18.9","236.0","1.4","32.00"
"596","Phillip Dorsett","HOU","WR","36.0","25.2","247.7","1.2","31.97"
"543","Willie Snead","FA","WR","34.0","20.7","237.9","1.4","31.89"
"2383","Shi Smith","CAR","WR","58.3","20.2","233.6","1.3","31.62"
"986","Zay Jones","LV","WR","19.6","20.2","229.6","1.4","30.76"
"1255","Cedrick Wilson","DAL","WR","32.1","16.5","224.4","1.2","30.58"
"1122","David Moore","GB","WR","43.6","17.2","197.6","1.6","30.37"
"1969","Tyler Johnson","TB","WR","55.0","16.0","204.1","1.6","29.71"
"336","Kenny Stills","NO","WR","29.0","16.6","232.9","1.0","29.29"
"1096","Jamal Agnew","JAC","WR","29.0","19.9","219.7","1.0","28.95"
"974","Dede Westbrook","MIN","WR","59.9","18.7","219.3","1.2","28.92"
"1581","Miles Boykin","BAL","WR","50.9","13.7","196.6","1.4","27.76"
"2370","Tylan Wallace","BAL","WR","58.1","14.7","210.0","1.1","27.30"
"1952","Devin Duvernay","BAL","WR","51.7","14.7","173.9","1.0","27.04"
"1572","Jalen Hurd","FA","WR","66.6","17.4","202.9","0.8","26.14"
"1580","KeeSean Johnson","SF","WR","66.0","21.3","248.2","0.1","25.42"
"127","Golden Tate","FA","WR","31.4","16.6","190.4","0.8","23.84"
"1577","Andy Isabella","ARI","WR","37.9","14.7","190.9","0.8","23.63"
"1317","Richie James","SF","WR","36.0","18.4","280.8","1.0","23.28"
"1188","Marcus Kemp","KC","WR","0.0","16.5","174.7","1.0","23.17"
"2082","K.J. Osborn","MIN","WR","32.0","14.9","183.0","0.8","22.83"
"1750","Penny Hart","SEA","WR","38.0","16.4","184.3","0.7","22.80"
"2510","Jacob Harris","LAR","WR","37.0","15.8","209.0","0.3","22.70"
"2563","Mike Strachan","IND","WR","61.7","14.6","164.7","1.0","22.17"
"900","Chester Rogers","TEN","WR","47.6","16.3","175.7","0.8","22.08"
"1190","Marvin Hall","FA","WR","17.0","10.0","157.0","1.0","21.70"
"2403","Tamorrion Terry","FA","WR","18.0","11.0","156.0","1.0","21.60"
"2074","John Hightower","PHI","WR","36.0","13.4","172.7","0.6","21.17"
"1456","Cameron Batson","TEN","WR","13.3","15.2","142.2","0.9","20.89"
"1507","Chad Beebe","MIN","WR","31.0","17.1","199.7","0.0","19.97"
"2519","Ihmir Smith-Marsette","MIN","WR","13.6","11.5","145.6","0.9","19.66"
"856","Jakeem Grant","CHI","WR","62.6","14.4","161.6","0.4","19.55"
"1843","Steven Sims","PIT","WR","28.3","13.3","150.5","0.7","19.25"
"122","Dez Bryant","FA","WR","24.0","12.0","138.0","0.9","19.20"
"1448","Trent Sherfield","SF","WR","34.3","13.6","150.7","0.7","18.97"
"1574","Lil'Jordan Humphrey","NO","WR","31.6","13.0","150.3","0.7","18.93"
"1243","Equanimeous St. Brown","GB","WR","25.0","11.8","143.0","0.7","18.50"
"2406","Jaelon Darden","TB","WR","24.9","9.6","129.2","0.9","18.32"
"1240","Dante Pettis","NYG","WR","22.1","10.4","130.5","0.6","17.97"
"2384","Damonte Coxie","FA","WR","23.0","16.0","179.0","0.0","17.90"
"985","Noah Brown","DAL","WR","27.0","9.5","157.6","0.4","17.89"
"971","John Ross","NYG","WR","62.4","11.9","159.8","0.3","17.83"
"695","Jake Kumerow","BUF","WR","25.0","12.3","128.5","0.8","17.39"
"742","Laquon Treadwell","JAC","WR","37.0","14.3","172.8","0.0","17.28"
"147","Andre Roberts","LAC","WR","4.0","10.2","136.6","0.7","17.26"
"333","Tavon Austin","JAC","WR","2.0","12.1","127.3","0.6","17.01"
"1770","Christian Blake","ATL","WR","25.0","11.9","134.4","0.5","16.44"
"2389","Frank Darby","ATL","WR","27.6","11.0","139.4","0.4","16.39"
"976","Isaiah Ford","MIA","WR","25.0","10.5","121.0","0.7","16.30"
"1811","Trinity Benson","DET","WR","34.0","10.6","127.0","0.5","15.79"
"1139","Marcus Johnson","TEN","WR","30.0","10.9","114.4","0.7","15.34"
"1738","Terry Godwin","JAC","WR","0.0","8.1","103.6","0.4","14.49"
"1366","Justin Watson","KC","WR","9.0","8.6","98.6","0.8","14.36"
"2199","Nick Westbrook","TEN","WR","11.0","7.6","96.7","0.7","13.57"
"756","Mike Thomas","CIN","WR","19.9","8.7","96.7","0.6","13.27"
"2576","Ben Skowronek","LAR","WR","24.0","9.4","132.3","0.0","13.23"
"1244","Braxton Berrios","NYJ","WR","2.4","9.2","101.7","0.5","13.13"
"750","Tajae Sharpe","ATL","WR","24.0","11.7","107.2","0.4","12.83"
"1831","Jeff Smith","NYJ","WR","28.0","11.4","113.8","0.2","12.58"
"2412","Jonathan Adams Jr.","FA","WR","16.0","10.0","121.0","0.0","12.10"
"1827","Gunner Olszewski","NE","WR","12.0","6.2","74.3","0.5","11.21"
"1247","Ray-Ray McCloud","PIT","WR","2.7","10.2","89.6","0.3","11.16"
"753","Geronimo Allison","FA","WR","22.0","6.5","76.0","0.5","10.60"
"1585","Antoine Wesley","ARI","WR","24.0","7.3","77.5","0.4","10.15"
"2408","Trevon Grimes","FA","WR","14.0","8.0","101.0","0.0","10.10"
"2582","Kawaan Baker","NO","WR","15.0","9.0","101.0","0.0","10.10"
"2402","Marquez Stevenson","BUF","WR","16.4","8.0","98.6","0.0","10.01"
"452","Jordan Matthews","SF","WR","15.0","12.0","98.0","0.0","9.80"
"893","Alex Erickson","CAR","WR","14.0","7.2","84.6","0.2","9.66"
"2388","Simi Fehoko","DAL","WR","9.7","6.4","77.9","0.3","9.59"
"2391","Tre Nixon","NE","WR","14.0","8.0","95.0","0.0","9.50"
"2401","Cornell Powell","KC","WR","13.0","8.0","91.0","0.0","9.10"
"2376","Dazz Newsome","CHI","WR","20.0","7.4","91.0","0.0","9.10"
"2552","Jalen Camp","HOU","WR","11.0","6.0","87.0","0.0","8.70"
"1265","Daurice Fountain","KC","WR","18.0","5.0","60.6","0.4","8.46"
"1494","KhaDarel Hodge","DET","WR","12.0","5.9","72.4","0.2","8.44"
"2400","Isaiah McKoy","FA","WR","11.0","6.0","82.0","0.0","8.20"
"2398","Racey McMath","TEN","WR","16.9","6.1","75.8","0.1","8.18"
"1563","JJ Arcega-Whiteside","PHI","WR","12.9","5.7","73.9","0.1","7.99"
"1833","Diontae Spencer","DEN","WR","0.0","6.4","60.9","0.3","7.99"
"1968","Antonio Gandy-Golden","WAS","WR","12.0","6.1","73.7","0.1","7.97"
"1965","Jauan Jennings","SF","WR","10.0","7.0","69.6","0.2","7.86"
"2411","Dax Milne","WAS","WR","19.0","6.8","77.7","0.0","7.77"
"1820","Malik Taylor","GB","WR","10.0","5.6","68.2","0.2","7.74"
"2371","Seth Williams","DEN","WR","11.0","6.0","77.0","0.0","7.70"
"1562","Hakeem Butler","FA","WR","11.0","3.8","44.9","0.5","7.49"
"1134","Victor Bolden","FA","WR","0.0","5.3","56.2","0.3","7.42"
"1749","Ashton Dulin","IND","WR","25.0","5.7","63.1","0.1","6.92"
"1564","Greg Dortch","ARI","WR","0.0","4.1","46.9","0.3","6.49"
"689","DeAndre Carter","WAS","WR","0.0","3.8","45.1","0.3","6.31"
"1967","Joe Reed","LAC","WR","12.0","4.4","52.0","0.0","6.24"
"1956","K.J. Hill","FA","WR","1.7","4.8","53.7","0.1","5.97"
"1586","Stanley Morgan","CIN","WR","9.0","6.3","54.7","0.1","5.78"
"2590","Blake Proehl","MIN","WR","9.0","5.0","54.0","0.0","5.40"
"1737","John Ursua","SEA","WR","0.0","2.9","37.2","0.2","4.92"
"1079","Mack Hollins","MIA","WR","11.0","3.9","41.9","0.1","4.82"
"1824","Nsimba Webster","CHI","WR","0.0","2.1","36.3","0.1","4.37"
"1441","C.J. Board","NYG","WR","0.0","2.7","36.3","0.1","4.26"
"2276","Trenton Irwin","CIN","WR","7.0","3.6","45.1","0.0","4.21"
"90","Matt Slater","NE","WR","0.0","1.6","31.3","0.1","3.80"
"1204","Brandon Zylstra","CAR","WR","5.0","3.4","30.7","0.1","3.68"
"752","Pharoh Cooper","FA","WR","5.0","3.0","36.0","0.0","3.60"
"1455","Brandon Powell","LAR","WR","0.0","2.0","21.8","0.2","3.38"
"1953","James Proche","BAL","WR","1.3","2.1","27.7","0.1","3.37"
"240","Travis Benjamin","SF","WR","0.0","1.2","17.3","0.2","2.93"
"2161","Dan Chisena","MIN","WR","0.0","1.9","22.7","0.1","2.87"
"537","Allen Hurns","MIA","WR","0.0","1.6","16.7","0.2","2.87"
"303","Chris Hogan","FA","WR","0.0","1.6","21.3","0.1","2.73"
"1960","Austin Mack","SF","WR","0.0","3.0","23.0","0.0","2.30"
"1102","Trent Taylor","CIN","WR","0.0","1.3","13.2","0.1","1.92"
"2288","Kendall Hinton","DEN","WR","0.0","1.1","12.1","0.0","1.85"
"1383","Damion Ratley","FA","WR","0.0","0.8","11.0","0.1","1.70"
"2157","Chris Rowland","FA","WR","0.0","0.8","11.0","0.1","1.70"
"2315","Matt Cole","SEA","WR","0.0","0.9","9.5","0.0","1.38"
"2222","De'Michael Harris","IND","WR","0.0","0.7","8.1","0.0","1.28"
"987","Gehrig Dieter","KC","WR","0.0","0.9","9.7","0.0","0.97"
"1822","Jason Moore","LAC","WR","0.0","0.8","9.5","0.0","0.95"
"1031","Josh Malone","FA","WR","0.0","0.9","9.4","0.0","0.94"
"1751","Keelan Doss","FA","WR","0.0","0.8","9.3","0.0","0.93"
"1754","Jeff Badet","FA","WR","0.0","0.9","9.3","0.0","0.93"
"988","Chad Hansen","ATL","WR","0.0","0.9","9.2","0.0","0.92"
"1252","Marcell Ateman","FA","WR","0.0","0.7","9.1","0.0","0.91"
"1768","Cyril Grayson","TB","WR","0.0","0.9","9.0","0.0","0.90"
"2265","Derrick Willies","FA","WR","0.0","0.7","8.6","0.0","0.86"
"2304","Ja'Marcus Bradley","CLE","WR","0.0","0.7","8.4","0.0","0.84"
"1430","River Cracraft","FA","WR","0.0","0.7","8.3","0.0","0.83"
"1570","Kelvin Harmon","WAS","WR","0.0","0.6","8.0","0.0","0.80"
"593","Justin Hardy","FA","WR","0.0","0.7","8.0","0.0","0.80"
"588","Kevin White","NO","WR","0.0","0.7","8.0","0.0","0.80"
"1427","Cody Hollister","TEN","WR","0.0","0.7","8.0","0.0","0.80"
"2132","Tyrie Cleveland","DEN","WR","0.0","0.7","8.0","0.0","0.80"
"1267","Malik Turner","DAL","WR","0.0","0.7","7.7","0.0","0.77"
"1444","Keith Kirkwood","FA","WR","0.0","0.7","7.6","0.0","0.76"
"1826","Alexander Hollins","CLE","WR","0.0","0.6","7.6","0.0","0.76"
"979","Ryan Switzer","CLE","WR","0.0","0.8","7.1","0.0","0.71"
"1445","Vyncint Smith","TB","WR","0.0","0.6","6.1","0.0","0.61"
"1193","JoJo Natson","FA","WR","0.0","0.4","4.7","0.0","0.52"
"1772","Ishmael Hyman","CAR","WR","0.0","2.0","4.0","0.0","0.40"
"2103","Dezmon Patmon","IND","WR","0.0","0.3","2.2","0.0","0.22"
"1249","Javon Wims","LV","WR","0.0","0.2","2.0","0.0","0.20"
"1559","Riley Ridley","FA","WR","0.0","0.0","0.0","0.0","0.00"
"1742","Olabisi Johnson","MIN","WR","0.0","0.0","0.0","0.0","0.00"
"2396","Dillon Stoner","LV","WR","0.0","0.0","0.0","0.0","0.00"
"2642","Stephen Guidry","DAL","WR","0.0","0.0","0.0","0.0","0.00"
"2181","Isaiah Wright","FA","WR","0.0","0.0","0.0","0.0","0.00"
"2174","Jody Fortson","KC","WR","0.0","0.0","0.0","0.0","0.00"
"453","Donte Moncrief","FA","WR","0.0","0.0","0.0","0.0","0.00"
"885","Andy Jones","FA","WR","0.0","0.0","0.0","0.0","0.00"
"667","J.J. Nelson","FA","WR","0.0","0.0","0.0","0.0","0.00"
"1191","Jaydon Mickens","JAC","WR","0.0","0.0","0.0","0.0","0.00"
